Electric_Range,Base_MSRP
16,0
16,0
210,0
25,0
308,0
21,0
53,0
322,0
23,0
53,0
238,0
208,0
0,0
75,0
53,0
322,0
210,0
18,0
0,0
87,0
151,0
0,0
26,0
259,0
84,0
238,0
238,0
0,0
107,0
0,0
25,0
204,0
293,0
238,0
0,0
150,0
38,0
0,0
322,0
239,0
84,0
151,0
150,0
18,0
25,0
75,0
75,0
215,0
19,0
38,0
0,0
0,0
220,0
238,0
238,0
200,0
0,0
21,0
84,0
22,0
259,0
215,0
308,0
215,0
84,0
19,0
39,0
266,0
238,0
220,0
215,0
150,0
22,0
220,0
208,0
150,0
210,0
32,0
220,0
0,0
21,0
0,0
83,0
32,0
47,0
215,0
37,0
238,0
322,0
215,0
40,0
215,0
291,0
75,0
0,0
25,0
220,0
26,0
19,0
38,0
291,0
291,0
58,0
75,0
26,0
75,0
322,0
84,0
107,0
330,0
149,0
21,0
26,0
42,0
73,0
200,0
0,0
0,0
208,69900
0,0
19,0
215,0
22,0
0,0
0,0
0,0
220,0
220,0
0,0
238,0
215,0
0,0
25,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
18,0
21,0
0,0
0,0
25,0
18,0
289,0
0,0
0,0
0,0
19,0
30,0
0,0
10,0
0,0
220,0
239,0
203,0
0,0
0,0
0,0
0,0
238,0
200,0
30,0
0,0
0,0
38,0
21,0
208,69900
19,64950
26,0
0,0
0,0
210,0
97,0
107,0
0,0
0,0
0,0
25,0
21,0
0,0
0,0
0,0
0,0
0,0
0,0
215,0
151,0
35,0
32,0
220,0
0,0
0,0
322,0
0,0
0,0
107,0
0,0
0,0
0,0
0,0
0,0
0,0
322,0
0,0
220,0
0,0
0,0
0,0
17,0
238,0
75,0
0,0
0,0
0,0
25,0
0,0
0,0
0,0
0,0
0,0
150,0
0,0
291,0
75,0
0,0
0,0
0,0
291,0
53,0
0,0
0,0
33,0
208,0
21,0
0,0
25,0
107,0
21,0
0,0
0,0
215,0
0,0
0,0
0,0
0,0
35,0
30,0
0,0
151,0
19,0
0,0
291,0
0,0
0,0
0,0
0,0
0,0
53,0
25,0
0,0
330,0
0,0
220,0
42,0
0,0
25,0
53,0
270,0
0,0
239,0
38,0
0,0
308,0
210,0
39,0
125,0
0,0
0,0
0,0
149,0
289,0
215,0
0,0
0,0
208,0
238,0
0,0
0,0
215,0
0,0
0,0
0,0
75,0
0,0
0,0
0,0
0,0
0,0
0,0
238,0
87,0
0,0
0,0
151,0
238,0
21,0
0,0
0,0
208,0
0,0
0,0
0,0
0,0
0,0
32,39995
0,0
0,0
291,0
0,0
0,0
84,0
42,0
16,53400
0,0
21,0
37,0
0,0
15,55700
150,0
0,0
322,0
0,0
0,0
0,0
17,0
0,0
0,0
0,0
0,0
0,0
215,0
0,0
82,0
16,0
0,0
215,0
21,0
0,0
11,0
0,0
0,0
0,0
0,0
93,31950
0,0
322,0
16,0
0,0
220,0
0,0
20,0
0,0
84,0
0,0
149,0
0,0
0,0
0,0
0,0
0,0
34,0
82,0
0,0
0,0
39,0
53,0
25,0
73,0
0,0
208,0
0,0
208,69900
220,0
21,0
0,0
0,0
0,0
19,0
0,0
29,0
0,0
0,0
0,0
0,0
0,0
220,0
21,0
0,0
33,0
0,0
0,0
239,0
0,0
0,0
125,0
0,0
0,0
32,0
25,0
73,0
35,0
0,0
0,0
0,0
81,0
0,0
75,0
21,0
17,0
0,0
238,0
0,0
32,0
215,0
0,0
0,0
34,0
0,0
0,0
0,0
0,0
39,0
0,0
208,69900
0,0
0,0
0,0
215,0
107,0
26,0
18,0
0,0
208,69900
0,0
21,0
32,0
20,0
0,0
293,0
23,0
0,0
266,0
19,0
208,69900
0,0
220,0
0,0
0,0
0,0
0,0
0,0
0,0
215,0
0,0
0,0
0,0
84,0
200,0
53,0
0,0
0,0
72,0
0,0
0,0
200,0
6,0
17,52900
0,0
84,0
6,0
0,0
0,0
0,0
32,0
208,0
33,0
19,0
0,0
0,0
0,0
210,0
0,0
0,0
0,0
208,0
0,0
0,0
259,0
204,0
0,0
259,0
42,0
0,0
215,0
270,0
0,0
6,0
0,0
0,0
30,0
0,0
0,0
0,0
0,0
39,0
0,0
42,0
87,0
215,0
210,0
0,0
107,0
107,0
0,0
0,0
0,0
0,0
0,0
149,0
0,0
322,0
0,0
150,0
215,0
32,0
20,0
35,0
0,0
215,0
25,0
0,0
0,0
84,0
0,0
17,0
291,0
208,69900
21,0
0,0
0,0
0,0
84,0
0,0
47,0
0,0
215,0
33,0
0,0
0,0
150,0
0,0
270,0
0,0
0,0
42,0
238,0
0,0
0,0
125,0
0,0
239,0
0,0
0,0
0,0
0,0
30,0
0,0
0,0
0,0
0,0
0,0
200,0
270,0
210,0
258,0
322,0
0,0
220,0
0,0
30,0
0,0
0,0
32,0
210,0
93,31950
220,0
220,0
0,0
6,0
33,0
0,0
22,0
0,0
0,0
35,0
25,0
0,0
291,0
0,0
53,0
0,0
0,0
33,0
0,0
215,0
322,0
42,0
0,0
0,0
25,0
151,0
35,0
215,0
0,0
0,0
215,0
204,0
220,0
0,0
0,0
26,0
0,0
26,0
0,0
0,0
0,0
16,0
34,0
0,0
30,0
97,0
238,0
0,0
0,0
0,0
0,0
151,0
0,0
32,0
0,0
291,0
0,0
0,0
210,0
0,0
0,0
0,0
32,0
0,0
249,0
0,0
220,0
0,0
266,0
215,0
0,0
30,0
238,0
0,0
0,0
21,0
215,0
0,0
0,0
68,0
151,0
0,0
238,0
26,0
208,0
0,0
53,0
0,0
38,0
215,0
0,0
0,0
32,0
0,0
82,0
289,0
34,0
0,0
0,0
0,0
21,0
0,0
149,0
53,0
249,0
215,0
21,0
0,0
0,0
0,0
0,0
0,0
0,0
210,0
0,0
75,0
39,0
0,0
35,0
21,0
32,0
0,0
0,0
0,0
0,0
220,0
200,0
21,0
215,0
215,0
0,0
93,32250
0,0
238,0
0,0
30,0
126,0
0,0
0,0
0,0
0,0
220,0
0,0
0,0
0,0
21,0
0,0
0,0
0,0
259,0
0,0
208,69900
0,0
0,0
238,0
0,0
83,0
0,0
42,0
0,0
20,0
6,0
0,0
39,0
204,0
150,0
220,0
73,0
22,0
19,0
81,0
84,0
210,0
239,0
0,0
0,0
53,0
84,0
308,0
0,0
0,0
215,0
249,0
30,0
0,0
151,0
0,0
35,0
0,0
25,0
0,0
0,0
0,0
0,0
208,69900
322,0
84,0
215,0
84,0
83,0
0,0
0,0
238,0
22,0
0,0
0,0
0,0
47,0
0,0
0,0
0,0
0,0
151,0
107,0
238,0
0,0
0,0
72,0
0,0
0,0
0,0
0,0
0,0
0,0
32,0
259,0
239,0
0,0
0,0
0,0
72,0
0,0
239,0
0,0
93,31950
6,0
18,0
215,0
16,0
0,0
18,0
0,0
0,0
0,0
200,0
0,0
0,0
0,0
215,0
0,0
0,0
0,0
0,0
0,0
84,0
0,0
17,0
0,0
0,0
6,0
0,0
0,0
0,0
149,0
0,0
322,0
266,0
0,0
220,0
53,0
0,0
0,0
21,0
0,0
0,0
0,0
266,0
220,0
0,0
21,0
26,0
0,0
84,0
210,0
0,0
0,0
0,0
0,0
0,0
73,0
208,0
33,0
0,0
0,0
0,0
0,0
19,0
0,0
0,0
220,0
19,0
259,0
75,0
0,0
53,0
0,0
21,0
0,0
84,0
330,0
30,0
0,0
238,0
0,0
151,0
0,0
0,0
33,0
220,0
0,0
238,0
0,0
0,0
53,0
0,0
42,0
53,0
16,0
18,0
0,0
0,0
0,0
266,0
39,0
215,0
0,0
32,0
0,0
0,0
220,0
0,0
0,0
42,0
0,0
0,0
25,0
291,0
0,0
0,0
53,0
0,0
30,0
21,0
21,0
25,0
18,0
0,0
0,0
21,0
0,0
25,0
215,0
0,0
308,0
75,0
0,0
0,0
215,0
20,0
22,0
35,0
0,0
18,0
0,0
0,0
22,0
0,0
0,0
0,0
0,0
32,0
21,0
0,0
84,0
32,39995
0,0
0,0
289,0
0,0
0,0
39,0
0,0
0,0
0,0
270,0
0,0
0,0
93,32250
215,0
215,0
0,0
0,0
